top_x,top_y,n_sensor,n_demo,n_features,test_ohs_item_mae,test_ohs_item_rmse,test_sis_item_mae,test_sis_item_rmse,test_ohs_total_mae,test_ohs_total_rmse,test_sis_total_mae,test_sis_total_rmse,train_ohs_item_mae,train_ohs_item_rmse,train_sis_item_mae,train_sis_item_rmse,mean_test_item_mae,mean_train_item_mae,overfit_gap,epochs
29,7,36,7,43,1.3122,1.5022,0.7901,0.9443,9.1654,10.3203,2.844,3.2066,0.8456,1.0139,0.8894,1.072,1.0512,0.8675,0.1837,61
31,5,38,6,44,1.2828,1.4849,0.8207,1.0186,8.9153,10.0682,2.6923,3.1537,0.8491,1.0293,0.8678,1.0626,1.0518,0.8585,0.1933,61
17,0,25,0,25,1.1826,1.4031,0.9229,1.1221,7.2694,8.3037,2.5587,3.7714,0.5599,0.6898,0.5103,0.6761,1.0527,0.5351,0.5177,108
32,5,38,6,44,1.2873,1.4893,0.8212,1.019,8.9818,10.1301,2.6879,3.1566,0.8468,1.0261,0.8665,1.0624,1.0542,0.8566,0.1976,61
12,3,18,4,22,1.2475,1.4398,0.8624,1.0279,9.465,10.666,3.0499,3.4466,0.8574,1.0266,0.8695,1.055,1.0549,0.8635,0.1915,62
33,0,39,0,39,1.2709,1.4519,0.8414,1.1207,8.8932,9.6528,2.4174,3.3887,0.5078,0.6345,0.4982,0.6582,1.0562,0.503,0.5532,123
39,0,44,0,44,1.2338,1.4418,0.8836,1.0483,8.3306,9.4298,2.8835,3.756,0.7047,0.8669,0.6937,0.8743,1.0587,0.6992,0.3595,70
12,4,18,5,23,1.2884,1.4832,0.8292,1.0028,8.9896,9.9929,2.9961,3.4261,0.8713,1.0493,0.8309,0.9971,1.0588,0.8511,0.2077,61
9,7,14,7,21,1.272,1.4706,0.8505,1.0374,8.42,9.6976,3.0307,3.3912,0.8511,1.023,0.8699,1.0652,1.0613,0.8605,0.2008,61
9,6,14,7,21,1.272,1.4706,0.8505,1.0374,8.42,9.6976,3.0307,3.3912,0.8511,1.023,0.8699,1.0652,1.0613,0.8605,0.2008,61
41,0,44,0,44,1.236,1.442,0.8886,1.0555,8.3484,9.4912,2.9048,3.8136,0.705,0.8656,0.6935,0.8753,1.0623,0.6993,0.363,70
40,0,44,0,44,1.236,1.442,0.8886,1.0555,8.3484,9.4912,2.9048,3.8136,0.705,0.8656,0.6935,0.8753,1.0623,0.6993,0.363,70
38,5,43,6,49,1.2538,1.4726,0.8727,1.0379,8.4044,9.4482,3.1432,3.66,0.8413,0.9947,0.8826,1.0639,1.0632,0.862,0.2013,61
34,6,40,7,47,1.3078,1.5403,0.8204,1.0036,8.7168,9.8893,2.946,3.3683,0.7827,0.9473,0.7712,0.9618,1.0641,0.777,0.2871,67
34,7,40,7,47,1.3078,1.5403,0.8204,1.0036,8.7168,9.8893,2.946,3.3683,0.7827,0.9473,0.7712,0.9618,1.0641,0.777,0.2871,67
35,0,40,0,40,1.1991,1.408,0.9325,1.1569,7.6658,8.6098,3.397,4.3404,0.5168,0.6335,0.4943,0.6561,1.0658,0.5056,0.5602,124
35,6,40,7,47,1.3111,1.5426,0.8213,1.0047,8.7637,9.9763,2.9523,3.3741,0.7836,0.9479,0.7718,0.9606,1.0662,0.7777,0.2885,67
35,7,40,7,47,1.3111,1.5426,0.8213,1.0047,8.7637,9.9763,2.9523,3.3741,0.7836,0.9479,0.7718,0.9606,1.0662,0.7777,0.2885,67
24,0,32,0,32,1.3155,1.5037,0.8178,1.029,9.7724,10.7201,2.5527,3.1222,0.7826,0.9611,0.7751,0.9594,1.0666,0.7789,0.2878,66
26,0,33,0,33,1.2758,1.4662,0.862,1.1187,9.1364,9.7027,2.8985,3.8114,0.6924,0.8395,0.6061,0.7725,1.0689,0.6492,0.4196,77
19,4,26,5,31,1.2864,1.4821,0.8561,1.0544,9.0805,10.3438,3.042,3.5265,0.8354,0.9977,0.8306,1.0335,1.0713,0.833,0.2383,61
42,0,44,0,44,1.2515,1.4563,0.8913,1.0604,8.5488,9.6919,2.928,3.8473,0.7063,0.8676,0.691,0.8754,1.0714,0.6987,0.3727,70
21,1,28,2,30,1.2668,1.4569,0.8764,1.055,9.0398,10.0316,3.1474,3.7709,0.8267,0.9826,0.849,1.0507,1.0716,0.8378,0.2337,61
21,2,28,2,30,1.2668,1.4569,0.8764,1.055,9.0398,10.0316,3.1474,3.7709,0.8267,0.9826,0.849,1.0507,1.0716,0.8378,0.2337,61
5,3,8,4,12,1.2962,1.5059,0.8484,1.0494,8.4031,9.6104,2.7798,3.1079,0.8686,1.0335,0.8976,1.1044,1.0723,0.8831,0.1892,62
6,6,10,7,17,1.3238,1.5304,0.8209,1.0105,9.7864,10.8314,2.5225,2.9459,0.8154,0.9847,0.802,0.9886,1.0723,0.8087,0.2636,65
6,7,10,7,17,1.3238,1.5304,0.8209,1.0105,9.7864,10.8314,2.5225,2.9459,0.8154,0.9847,0.802,0.9886,1.0723,0.8087,0.2636,65
25,0,33,0,33,1.2977,1.4894,0.8496,1.1095,9.4668,9.9663,2.7825,3.8484,0.6884,0.8336,0.6126,0.7772,1.0737,0.6505,0.4232,77
21,0,28,0,28,1.3323,1.5496,0.8153,1.0157,9.5288,10.6359,2.1851,3.1728,0.645,0.7831,0.6038,0.7687,1.0738,0.6244,0.4494,85
29,2,36,2,38,1.3005,1.4934,0.8477,1.0581,9.4483,10.6326,2.9838,3.4797,0.7834,0.944,0.755,0.9451,1.0741,0.7692,0.3049,66
29,1,36,2,38,1.3005,1.4934,0.8477,1.0581,9.4483,10.6326,2.9838,3.4797,0.7834,0.944,0.755,0.9451,1.0741,0.7692,0.3049,66
11,5,17,6,23,1.2834,1.491,0.8674,1.0421,8.5911,9.701,2.9917,3.4886,0.8681,1.0388,0.8653,1.0535,1.0754,0.8667,0.2087,61
21,5,28,6,34,1.3277,1.5149,0.8233,1.0092,9.4692,10.7176,3.0004,3.4743,0.8471,1.0133,0.841,1.0239,1.0755,0.8441,0.2314,61
20,0,26,0,26,1.2308,1.4371,0.9214,1.1662,9.0261,10.1392,3.4024,4.2816,0.6004,0.7356,0.5755,0.7491,1.0761,0.588,0.4882,92
16,5,24,6,30,1.3161,1.4813,0.8373,0.9909,10.0475,11.1785,2.8108,3.3185,0.8413,0.996,0.8448,1.0443,1.0767,0.8431,0.2336,61
38,3,43,4,47,1.265,1.4768,0.8889,1.0329,8.7139,9.7175,3.1963,3.672,0.861,1.0212,0.868,1.0417,1.0769,0.8645,0.2124,62
22,2,29,2,31,1.323,1.5205,0.8341,1.0359,9.9189,11.1605,2.7947,3.2379,0.7717,0.9335,0.7863,0.9801,1.0785,0.779,0.2995,64
22,1,29,2,31,1.323,1.5205,0.8341,1.0359,9.9189,11.1605,2.7947,3.2379,0.7717,0.9335,0.7863,0.9801,1.0785,0.779,0.2995,64
20,4,26,5,31,1.2969,1.4928,0.8625,1.0611,9.2841,10.5559,3.0987,3.577,0.8367,0.9997,0.8228,1.0261,1.0797,0.8298,0.2499,61
20,7,26,7,33,1.1825,1.3981,0.977,1.1717,8.0165,8.801,3.7383,4.2692,0.8678,1.0112,0.8078,0.9908,1.0798,0.8378,0.242,60
20,6,26,7,33,1.1825,1.3981,0.977,1.1717,8.0165,8.801,3.7383,4.2692,0.8678,1.0112,0.8078,0.9908,1.0798,0.8378,0.242,60
19,0,26,0,26,1.2391,1.4453,0.9227,1.1741,9.0984,10.2869,3.4789,4.4403,0.6012,0.74,0.5817,0.753,1.0809,0.5915,0.4894,92
15,6,22,7,29,1.2699,1.4627,0.8964,1.102,8.9629,9.976,2.936,3.4725,0.8062,0.9652,0.8268,1.0148,1.0831,0.8165,0.2666,63
15,7,22,7,29,1.2699,1.4627,0.8964,1.102,8.9629,9.976,2.936,3.4725,0.8062,0.9652,0.8268,1.0148,1.0831,0.8165,0.2666,63
19,6,26,7,33,1.185,1.4008,0.9866,1.1788,8.0864,8.8687,3.7895,4.3683,0.8657,1.0098,0.8087,0.9907,1.0858,0.8372,0.2486,60
19,7,26,7,33,1.185,1.4008,0.9866,1.1788,8.0864,8.8687,3.7895,4.3683,0.8657,1.0098,0.8087,0.9907,1.0858,0.8372,0.2486,60
17,4,25,5,30,1.3022,1.4726,0.8712,1.0361,9.9562,11.0099,2.9098,3.5031,0.8648,1.0216,0.8612,1.058,1.0867,0.863,0.2237,61
45,1,46,2,48,1.29,1.5033,0.8848,1.1385,8.901,10.6618,3.1551,4.1673,0.5908,0.7416,0.6083,0.7805,1.0874,0.5995,0.4879,86
45,2,46,2,48,1.29,1.5033,0.8848,1.1385,8.901,10.6618,3.1551,4.1673,0.5908,0.7416,0.6083,0.7805,1.0874,0.5995,0.4879,86
46,1,46,2,48,1.29,1.5033,0.8848,1.1385,8.901,10.6618,3.1551,4.1673,0.5908,0.7416,0.6083,0.7805,1.0874,0.5995,0.4879,86
46,2,46,2,48,1.29,1.5033,0.8848,1.1385,8.901,10.6618,3.1551,4.1673,0.5908,0.7416,0.6083,0.7805,1.0874,0.5995,0.4879,86
16,4,24,5,29,1.3017,1.4698,0.8733,1.0514,9.6585,10.6533,3.1626,3.6041,0.8644,1.0407,0.8049,0.9749,1.0875,0.8346,0.2528,62
22,4,29,5,34,1.3051,1.4835,0.8715,1.043,9.3936,10.6465,3.3165,3.8699,0.8718,1.0421,0.8163,0.9983,1.0883,0.844,0.2443,61
13,2,19,2,21,1.3286,1.5181,0.8498,1.0504,9.029,10.2295,3.1014,3.5624,0.8288,0.9994,0.8561,1.0493,1.0892,0.8424,0.2468,62
13,1,19,2,21,1.3286,1.5181,0.8498,1.0504,9.029,10.2295,3.1014,3.5624,0.8288,0.9994,0.8561,1.0493,1.0892,0.8424,0.2468,62
10,1,15,2,17,1.3489,1.5633,0.8312,0.9974,9.4155,10.7042,2.7896,3.1185,0.8215,0.9854,0.8605,1.0416,1.09,0.841,0.249,65
