top_x,top_y,n_sensor,n_demo,n_features,ohs_item_mae,ohs_item_rmse,sis_item_mae,sis_item_rmse,ohs_total_mae,ohs_total_rmse,sis_total_mae,sis_total_rmse,mean_item_mae,epochs
34,6,40,7,47,1.3983,1.6178,0.9302,1.1839,11.1215,12.2054,3.2228,3.7733,1.1642,88
35,7,40,7,47,1.4004,1.6204,0.9294,1.184,11.1311,12.2531,3.2094,3.7376,1.1649,88
35,6,40,7,47,1.4004,1.6204,0.9294,1.184,11.1311,12.2531,3.2094,3.7376,1.1649,88
33,4,39,5,44,1.3618,1.5586,0.9684,1.1823,10.1269,11.6222,3.9606,4.5188,1.1651,68
13,4,19,5,24,1.4062,1.6351,0.9244,1.1541,10.1901,11.7148,3.5168,4.1095,1.1653,77
22,5,29,6,35,1.4199,1.6059,0.9139,1.1688,11.1222,12.121,3.0012,3.4368,1.1669,92
33,3,39,4,43,1.4314,1.6268,0.9043,1.1313,10.1055,11.3769,4.1918,4.7561,1.1678,68
43,6,45,7,52,1.3557,1.6018,0.9833,1.2356,9.2895,10.3535,3.5435,4.2123,1.1695,68
43,7,45,7,52,1.3557,1.6018,0.9833,1.2356,9.2895,10.3535,3.5435,4.2123,1.1695,68
11,3,17,4,21,1.414,1.5881,0.925,1.1564,11.302,12.3029,3.6129,4.3248,1.1695,69
24,3,32,4,36,1.4382,1.6487,0.9013,1.1667,10.2378,11.7888,3.2164,3.8694,1.1697,99
23,2,30,2,32,1.4469,1.6669,0.8988,1.1299,10.6277,12.2885,3.213,3.9117,1.1728,78
23,1,30,2,32,1.4469,1.6669,0.8988,1.1299,10.6277,12.2885,3.213,3.9117,1.1728,78
10,5,15,6,21,1.3357,1.5363,1.0117,1.2854,9.5675,11.2487,4.0808,4.8238,1.1737,80
29,7,36,7,43,1.4452,1.6336,0.9027,1.1225,10.4169,11.7929,3.935,4.5607,1.174,68
26,3,33,4,37,1.4207,1.6133,0.9274,1.1899,10.8388,12.2092,3.6514,4.2968,1.174,83
29,6,36,7,43,1.4452,1.6336,0.9027,1.1225,10.4169,11.7929,3.935,4.5607,1.174,68
44,7,45,7,52,1.3617,1.605,0.9872,1.2397,9.3558,10.4165,3.5703,4.2631,1.1744,68
44,6,45,7,52,1.3617,1.605,0.9872,1.2397,9.3558,10.4165,3.5703,4.2631,1.1744,68
43,3,45,4,49,1.4624,1.6644,0.8867,1.1219,11.8638,12.8639,3.3925,3.8008,1.1745,68
36,3,41,4,45,1.3804,1.5919,0.9687,1.1478,9.6802,11.3294,3.3453,3.8681,1.1746,74
14,3,20,4,24,1.491,1.7415,0.8602,1.0568,10.2759,12.2846,2.7776,3.3735,1.1756,87
44,3,45,4,49,1.4619,1.6658,0.8902,1.1243,11.844,12.8189,3.4226,3.8472,1.176,68
37,1,41,2,43,1.4407,1.6255,0.9175,1.1697,11.2061,12.2435,3.8958,4.4768,1.1791,78
37,2,41,2,43,1.4407,1.6255,0.9175,1.1697,11.2061,12.2435,3.8958,4.4768,1.1791,78
36,2,41,2,43,1.443,1.6276,0.9162,1.1691,11.2217,12.2847,3.8291,4.4394,1.1796,78
36,1,41,2,43,1.443,1.6276,0.9162,1.1691,11.2217,12.2847,3.8291,4.4394,1.1796,78
28,4,35,5,40,1.4033,1.6023,0.9578,1.1666,9.5314,11.1326,4.1036,4.5375,1.1805,66
41,1,44,2,46,1.5099,1.7089,0.8523,1.058,12.5757,13.5373,2.7934,3.5154,1.1811,72
40,1,44,2,46,1.5099,1.7089,0.8523,1.058,12.5757,13.5373,2.7934,3.5154,1.1811,72
40,2,44,2,46,1.5099,1.7089,0.8523,1.058,12.5757,13.5373,2.7934,3.5154,1.1811,72
41,2,44,2,46,1.5099,1.7089,0.8523,1.058,12.5757,13.5373,2.7934,3.5154,1.1811,72
25,4,33,5,38,1.3202,1.5182,1.0422,1.2587,9.3469,10.7969,4.3733,4.9596,1.1812,64
25,3,33,4,37,1.431,1.6321,0.9316,1.1944,11.1002,12.4503,3.7511,4.3728,1.1813,83
42,2,44,2,46,1.5093,1.7045,0.8557,1.0626,12.629,13.5487,2.8661,3.6107,1.1825,72
42,1,44,2,46,1.5093,1.7045,0.8557,1.0626,12.629,13.5487,2.8661,3.6107,1.1825,72
15,5,22,6,28,1.3908,1.6034,0.9774,1.2524,9.8987,11.1935,4.2485,5.2289,1.1841,76
35,2,40,2,42,1.4653,1.6661,0.9033,1.1359,12.0171,13.0897,2.8244,3.8066,1.1843,89
35,1,40,2,42,1.4653,1.6661,0.9033,1.1359,12.0171,13.0897,2.8244,3.8066,1.1843,89
26,4,33,5,38,1.3137,1.5135,1.0555,1.2715,9.3338,10.8171,4.3455,4.9952,1.1846,64
16,5,24,6,30,1.4782,1.6512,0.8916,1.0659,12.2923,13.4305,3.0263,3.6139,1.1849,70
34,1,40,2,42,1.4674,1.6675,0.9028,1.1403,12.1498,13.1959,2.8065,3.804,1.1851,89
34,2,40,2,42,1.4674,1.6675,0.9028,1.1403,12.1498,13.1959,2.8065,3.804,1.1851,89
25,1,33,2,35,1.3418,1.5464,1.0286,1.2877,10.1793,11.222,4.156,4.9177,1.1852,139
25,2,33,2,35,1.3418,1.5464,1.0286,1.2877,10.1793,11.222,4.156,4.9177,1.1852,139
8,4,12,5,17,1.4478,1.6701,0.9236,1.1074,10.9519,12.3899,3.3598,3.8409,1.1857,72
28,6,35,7,42,1.3772,1.5747,0.9944,1.2501,11.2824,12.4132,3.9186,4.6611,1.1858,222
28,7,35,7,42,1.3772,1.5747,0.9944,1.2501,11.2824,12.4132,3.9186,4.6611,1.1858,222
42,3,44,4,48,1.3997,1.6184,0.9734,1.1706,9.7324,10.8437,3.8467,4.4704,1.1865,66
39,1,44,2,46,1.5207,1.7172,0.8552,1.0614,12.6937,13.6604,2.8347,3.584,1.188,72
39,2,44,2,46,1.5207,1.7172,0.8552,1.0614,12.6937,13.6604,2.8347,3.584,1.188,72
41,3,44,4,48,1.4022,1.6213,0.9758,1.1741,9.8069,10.8994,3.8617,4.5012,1.189,66
40,3,44,4,48,1.4022,1.6213,0.9758,1.1741,9.8069,10.8994,3.8617,4.5012,1.189,66
39,3,44,4,48,1.4077,1.6249,0.973,1.1721,9.8817,10.9745,3.867,4.5107,1.1903,66
33,6,39,7,46,1.5082,1.6799,0.8741,1.1172,11.5006,12.8828,3.4487,3.9468,1.1911,72
33,7,39,7,46,1.5082,1.6799,0.8741,1.1172,11.5006,12.8828,3.4487,3.9468,1.1911,72
8,5,12,6,18,1.4452,1.632,0.9376,1.1485,11.7083,13.1841,3.6817,4.1617,1.1914,83
30,2,38,2,40,1.4267,1.6392,0.957,1.2335,10.2744,11.6899,3.6155,4.7176,1.1919,121
30,1,38,2,40,1.4267,1.6392,0.957,1.2335,10.2744,11.6899,3.6155,4.7176,1.1919,121
